Date,Country,Count
2018-06-03,India,36
2018-06-03,Mexico,10
2018-06-03,United States,44
2018-06-04,Iraq,17
2018-06-13,China,30
2018-06-13,Ukraine,43
2018-06-14,"Korea, Republic of",6
2018-06-16,China,41
2018-06-16,"Taiwan, Province of China",5
2018-06-18,"Korea, Democratic People's Republic of",1
2018-06-18,"Korea, Republic of",9
2018-06-19,France,19
2018-06-19,Spain,4
2018-06-19,United Kingdom,12
2018-06-20,Georgia,4
2018-06-20,Russian Federation,20
2018-06-20,Ukraine,7
2018-06-22,Algeria,4
2018-06-22,France,24
2018-06-22,United Kingdom,3
2018-06-23,Bulgaria,4
2018-06-23,Greece,6
2018-06-23,Hungary,3
2018-06-23,Poland,1
2018-06-23,Romania,3
2018-06-23,Serbia,3
2018-06-23,Slovakia,2
2018-06-29,Germany,6
2018-06-29,Italy,26
2018-06-29,Liechtenstein,1
2018-06-29,Malta,1
2018-06-29,Switzerland,2
2018-07-11,United States,58
2018-07-13,Bulgaria,7
2018-07-13,Cyprus,2
2018-07-13,Egypt,9
2018-07-13,Romania,12
2018-07-13,Türkiye,26
2018-07-14,China,32
2018-07-14,Mongolia,1
2018-07-15,China,57
2018-07-17,China,51
2018-07-23,Canada,14
2018-07-23,United States,44
2018-07-27,Georgia,3
2018-07-27,Iraq,23
2018-07-27,Saudi Arabia,17
2018-07-27,Türkiye,15
2018-07-31,Algeria,12
2018-07-31,Austria,4
2018-07-31,Bosnia and Herzegovina,8
2018-07-31,China,52
2018-07-31,Croatia,2
2018-07-31,Czech Republic,7
2018-07-31,Germany,3
2018-07-31,Hungary,6
2018-07-31,"Montenegro, Republic of",4
2018-07-31,Morocco,12
2018-07-31,Norway,1
2018-07-31,Poland,10
2018-07-31,Spain,19
2018-07-31,Sweden,14
2018-07-31,"Taiwan, Province of China",4
2018-08-01,Belarus,1
2018-08-01,Finland,6
2018-08-01,Russian Federation,23
2018-08-01,Ukraine,5
2018-08-02,Belgium,4
2018-08-02,France,28
2018-08-02,Italy,12
2018-08-02,Netherlands,2
2018-08-02,Tunisia,13
2018-08-06,China,16
2018-08-06,Japan,10
2018-08-06,"Korea, Democratic People's Republic of",7
2018-08-06,"Korea, Republic of",14
2018-08-14,China,47
2018-08-14,Kazakhstan,4
2018-08-14,Nepal,2
2018-08-15,China,52
2018-08-15,Kazakhstan,36
2018-08-15,"Korea, Democratic People's Republic of",8
2018-08-15,"Korea, Republic of",8
2018-08-15,Kyrgyzstan,10
2018-08-15,Russian Federation,1
2018-08-16,China,31
2018-08-16,Czech Republic,2
2018-08-16,Denmark,1
2018-08-16,Greece,10
2018-08-16,Hungary,6
2018-08-16,Mongolia,20
2018-08-16,"North Macedonia, Republic of",4
2018-08-16,Poland,16
2018-08-16,Russian Federation,6
2018-08-16,Serbia,10
