Date,Country,Count,Area_km2,CoverageFraction
2018-06-03,India,36,3150744.48103565,0.79749624
2018-06-03,Mexico,10,1957845.07873307,0.35650120
2018-06-03,United States,44,9464215.58286383,0.32449453
2018-06-04,Iraq,17,437366.87306604,2.71295357
2018-06-13,China,30,9375215.38301177,0.22334659
2018-06-13,Ukraine,43,571999.26792348,5.24701503
2018-06-14,"Korea, Republic of",6,98543.93686318,4.24972343
2018-06-16,China,41,9375215.38301177,0.30524034
2018-06-16,"Taiwan, Province of China",5,36197.85881150,9.64109690
2018-06-18,"Korea, Democratic People's Republic of",1,122379.34624896,0.57033654
2018-06-18,"Korea, Republic of",9,98543.93686318,6.37458514
2018-06-19,France,19,636756.71878227,2.08266486
2018-06-19,Spain,4,506884.92664267,0.55079494
2018-06-19,United Kingdom,12,243782.51391268,3.43572203
2018-06-20,Georgia,4,69570.87376755,4.01302494
2018-06-20,Russian Federation,20,16980189.53670734,0.08221040
2018-06-20,Ukraine,7,571999.26792348,0.85416524
2018-06-22,Algeria,4,2308857.92232606,0.12092111
2018-06-22,France,24,636756.71878227,2.63073456
2018-06-22,United Kingdom,3,243782.51391268,0.85893051
2018-06-23,Bulgaria,4,112759.88481307,2.47596609
2018-06-23,Greece,6,131353.32663300,3.18822894
2018-06-23,Hungary,3,93200.70581689,2.24668082
2018-06-23,Poland,1,313427.82926456,0.22269054
2018-06-23,Romania,3,236377.05047618,0.88583997
2018-06-23,Serbia,3,77628.66418835,2.69735723
2018-06-23,Slovakia,2,48457.91644998,2.88074346
2018-06-29,Germany,6,357673.53753233,1.17085675
2018-06-29,Italy,26,301184.48544304,6.02531944
2018-06-29,Liechtenstein,1,137.25073083,508.53946236
2018-06-29,Malta,1,325.68403093,214.31020939
2018-06-29,Switzerland,2,41435.48900166,3.36896774
2018-07-11,United States,58,9464215.58286383,0.42774279
2018-07-13,Bulgaria,7,112759.88481307,4.33294066
2018-07-13,Cyprus,2,5395.03684232,25.87467515
2018-07-13,Egypt,9,1001058.30040325,0.62751262
2018-07-13,Romania,12,236377.05047618,3.54335987
